"fatalities","injured","evacuated","city","province","region","country","canada","disastertype","disastersubgroup","disastergroup","disastercategory","magnitude","utilitypeopleaffected","start_day","start_week","start_month","start_year","start_weekend","start_seasoncanada","start_seasoninternational","end_day","end_week","end_month","end_year","end_weekend","end_seasoncanada","end_seasoninternational","estimatedtotalcost","normalizedtotalcost","federaldfaapayments","provincialdfaapayments","provincialdepartmentpayments","municipalcosts","ogdcosts","insurancepayments","ngopayments","keyword1","keyword2","keyword3"
0,0,800,"St-Hilaire","Quebec","Central Canada","Canada",TRUE,"Leak / Spill Release","Hazardous Chemicals","Technology","Incident",0,0,29,18,4,1981,FALSE,"spring","fall",29,18,4,1981,FALSE,"spring","fall",?,?,0,0,?,?,?,?,?,"evacuate","damage",?
13,19,0,?,?,"off the Northern coast of Newfoundland","Canada",TRUE,"Marine","Transportation accident","Technology","Incident",0,0,3,27,7,1981,FALSE,"summer","winter",3,27,7,1981,FALSE,"summer","winter",?,?,0,0,?,?,?,?,?,"ice","water",?
2,0,0,"Calgary","Alberta","Prairie Provinces","Canada",TRUE,"Storms and Severe Thunderstorms","Meteorological - Hydrological","Natural","Disaster",0,0,28,31,7,1981,FALSE,"summer","winter",28,31,7,1981,FALSE,"summer","winter",?,?,0,0,?,?,?,?,?,"storm","hail",?
0,0,0,"Westfield","New Brunswick","Atlantic Canada","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,1,31,8,1981,TRUE,"summer","winter",1,31,8,1981,TRUE,"summer","winter",?,?,0,0,?,?,?,?,?,"rain",?,?
9,0,0,"Squamish","British Columbia","West Coast","Canada",TRUE,"Landslide","Geological","Natural","Disaster",0,0,28,44,10,1981,FALSE,"fall","spring",28,44,10,1981,FALSE,"fall","spring",?,?,0,0,?,?,?,?,?,"water","rain","car"
0,0,200,"Medonte","Ontario","Central Canada","Canada",TRUE,"Derailment Release","Hazardous Chemicals","Technology","Incident",0,0,1,53,1,1982,FALSE,"winter","summer",1,53,1,1982,FALSE,"winter","summer",?,?,0,0,?,?,?,?,?,"derail","rain","train"
0,0,0,"Hay River","Northwest Territories","Northern Canada","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,1,53,1,1982,FALSE,"winter","summer",1,53,1,1982,FALSE,"winter","summer",572824,62603.7,413342,159482,?,?,?,?,?,?,?,?
10,0,0,"Greater Vancouver","British Columbia","West Coast","Canada",TRUE,"Storms and Severe Thunderstorms","Meteorological - Hydrological","Natural","Disaster",0,0,30,44,10,1981,FALSE,"fall","spring",31,44,10,1981,TRUE,"fall","spring",3130147,379411.8,217888,2912259,?,?,?,?,?,"flood","storm","wind"
0,0,0,"Aklavik","Northwest Territories","Northern Canada","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,1,22,6,1982,FALSE,"spring","winter",6,22,6,1982,TRUE,"spring","winter",141412,15454.9,46278,95134,?,?,?,?,?,"flood","ice","water"
0,0,2000,"Labrador City","Newfoundland and Labrador","Atlantic Canada","Canada",TRUE,"Winter Storm","Meteorological - Hydrological","Natural","Disaster",0,0,19,3,1,1982,FALSE,"winter","summer",19,3,1,1982,FALSE,"winter","summer",?,?,0,0,?,?,?,?,?,"snow","water","wind"
2,0,0,"Lodgepole","Alberta","Prairie Provinces","Canada",TRUE,"Non-Residential","Explosion","Technology","Incident",0,0,1,5,2,1982,FALSE,"winter","summer",1,5,2,1982,FALSE,"winter","summer",?,?,0,0,?,?,?,?,?,"fire",?,?
0,0,0,?,?,"Across Canada","Canada",TRUE,"Cold Event","Meteorological - Hydrological","Natural","Disaster",0,0,5,1,1,1982,FALSE,"winter","summer",5,1,1,1982,FALSE,"winter","summer",?,?,0,0,?,?,?,?,?,"snow","temperature","rain"
117,0,0,?,?,"Off the coast of Newfoundland","Canada",TRUE,"Winter Storm","Meteorological - Hydrological","Natural","Disaster",0,0,14,6,2,1982,TRUE,"winter","summer",14,6,2,1982,TRUE,"winter","summer",?,?,0,0,?,?,?,?,?,"snow","storm","wind"
0,0,75,"i??les-de-la-Madeleine","Quebec","Central Canada","Canada",TRUE,"Winter Storm","Meteorological - Hydrological","Natural","Disaster",0,0,22,8,2,1982,FALSE,"winter","summer",22,8,2,1982,FALSE,"winter","summer",?,?,0,0,?,?,?,?,?,"snow","storm","evacuate"
0,0,0,?,"Prince Edward Island","Atlantic Canada","Canada",TRUE,"Winter Storm","Meteorological - Hydrological","Natural","Disaster",0,0,22,8,2,1982,FALSE,"winter","summer",22,8,2,1982,FALSE,"winter","summer",1585054,173229.9,1340291,244763,?,?,?,?,?,"snow","storm","wind"
0,0,1200,"Orillia","Ontario","Central Canada","Canada",TRUE,"Derailment Release","Hazardous Chemicals","Technology","Incident",0,0,28,8,2,1982,TRUE,"winter","summer",28,8,2,1982,TRUE,"winter","summer",?,?,0,0,?,?,?,?,?,"derail","rain","evacuate"
0,0,300,"Sherbrooke","Quebec","Central Canada","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,17,15,4,1982,TRUE,"spring","fall",17,15,4,1982,TRUE,"spring","fall",?,?,0,0,?,?,?,?,?,"flood","water","evacuate"
0,0,0,"Dunsmuir","British Columbia","West Coast","Canada",TRUE,"Bomb Attacks","Terrorist","Conflict","Incident",0,0,31,22,5,1982,FALSE,"spring","fall",31,22,5,1982,FALSE,"spring","fall",?,?,0,0,?,?,?,?,?,?,?,?
5,26,0,"Montreal Sainte-Rose","Quebec","Central Canada","Canada",TRUE,"Tornado","Meteorological - Hydrological","Natural","Disaster",0,0,14,24,6,1982,FALSE,"spring","winter",14,24,6,1982,FALSE,"spring","winter",?,?,0,0,?,?,?,?,?,"damage","injured",?
0,10,0,"Toronto","Ontario","Central Canada","Canada",TRUE,"Bomb Attacks","Terrorist","Conflict","Incident",0,0,14,41,10,1982,FALSE,"fall","spring",14,41,10,1982,FALSE,"fall","spring",?,?,0,0,?,?,?,?,?,"pollution","injured",?
0,0,0,"Grande Prairie","Alberta","Prairie Provinces","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,115994,13,28,7,1982,FALSE,"summer","winter",3,31,8,1982,FALSE,"summer","winter",?,?,0,0,?,?,?,?,?,"flood","storm","rain"
0,1,24339,"Curling","Newfoundland and Labrador","Atlantic Canada","Canada",TRUE,"Vehicle Release","Hazardous Chemicals","Technology","Incident",0,0,10,2,1,1983,FALSE,"winter","summer",10,2,1,1983,FALSE,"winter","summer",?,?,0,0,?,?,?,?,?,"snow","spill","evacuate"
0,0,0,?,?,"Prairie Provinces","Canada",TRUE,"Winter Storm","Meteorological - Hydrological","Natural","Disaster",0,0,6,9,3,1983,TRUE,"winter","fall",6,9,3,1983,TRUE,"winter","fall",0,0,0,0,?,?,?,?,?,"storm","rain","damage"
0,0,0,?,?,"Eastern Canada","Canada",TRUE,"Cold Event","Meteorological - Hydrological","Natural","Disaster",0,0,1,52,1,1983,TRUE,"winter","summer",1,52,1,1983,TRUE,"winter","summer",?,?,0,0,?,?,?,?,?,"damage",?,?
0,0,0,?,?,"Prairie Provinces","Canada",TRUE,"Drought","Meteorological - Hydrological","Natural","Disaster",0,0,1,52,1,1983,TRUE,"winter","summer",1,52,1,1983,TRUE,"winter","summer",0,0,0,?,?,0,?,?,?,"drought",?,?
0,0,0,"North shore of St. Lawrence River","Quebec","Central Canada","Canada",TRUE,"Flood","Meteorological - Hydrological","Natural","Disaster",0,0,19,11,3,1983,TRUE,"winter","fall",20,11,3,1983,TRUE,"spring","fall",?,?,0,0,?,?,?,?,?,"flood",?,?
0,0,0,"Reeces Corners","Ontario","Central Canada","Canada",TRUE,"Tornado","Meteorological - Hydrological","Natural","Disaster",0,0,3,18,5,1983,FALSE,"spring","fall",3,18,5,1983,FALSE,"spring","fall",111591,11524,0,0,111591,?,?,?,?,?,?,?
0,0,0,?,"Manitoba","Prairie Provinces","Canada",TRUE,"Epidemic","Biological","Natural","Disaster",0,0,1,26,7,1983,FALSE,"summer","winter",1,26,7,1983,FALSE,"summer","winter",4444275,458961.3,1384672,3059603,?,?,?,?,?,?,?,?
